tconst	titleType	primaryTitle	originalTitle	isAdult	startYear	endYear	runtimeMinutes	genres	averageRating	numVotes
tt0035423	movie	Kate & Leopold	Kate & Leopold	0	2001.0	\N	118	Comedy,Fantasy,Romance	6.4	86556
tt0099558	movie	Operation Condor	Fei ying gai wak	0	1991.0	\N	106	Action,Adventure,Comedy	7.2	21535
tt0101272	movie	The Addams Family	The Addams Family	0	1991.0	\N	99	Comedy,Fantasy	6.9	170499
tt0101316	movie	The Lover	L'amant	0	1992.0	\N	115	Biography,Drama,Romance	6.8	22381
tt0101318	movie	The Lovers on the Bridge	Les amants du Pont-Neuf	0	1991.0	\N	125	Drama,Romance	7.6	14627
tt0101329	movie	An American Tail: Fievel Goes West	An American Tail: Fievel Goes West	0	1991.0	\N	75	Adventure,Animation,Family	6.5	27161
tt0101393	movie	Backdraft	Backdraft	0	1991.0	\N	137	Action,Drama,Mystery	6.7	83328
tt0101410	movie	Barton Fink	Barton Fink	0	1991.0	\N	116	Comedy,Drama,Thriller	7.6	124938
tt0101414	movie	Beauty and the Beast	Beauty and the Beast	0	1991.0	\N	84	Animation,Family,Fantasy	8.0	462628
tt0101452	movie	Bill & Ted's Bogus Journey	Bill & Ted's Bogus Journey	0	1991.0	\N	93	Adventure,Comedy,Fantasy	6.3	78111
tt0101453	movie	Billy Bathgate	Billy Bathgate	0	1991.0	\N	106	Crime,Drama,Thriller	5.9	12380
tt0101458	movie	Until the End of the World	Bis ans Ende der Welt	0	1991.0	\N	158	Action,Drama,Sci-Fi	6.8	10734
tt0101507	movie	Boyz n the Hood	Boyz n the Hood	0	1991.0	\N	112	Crime,Drama	7.8	145458
tt0101516	movie	Bugsy	Bugsy	0	1991.0	\N	136	Biography,Crime,Drama	6.8	29945
tt0101540	movie	Cape Fear	Cape Fear	0	1991.0	\N	128	Crime,Thriller	7.3	202895
tt0101545	movie	Career Opportunities	Career Opportunities	0	1991.0	\N	83	Comedy,Romance	5.8	15996
